2022-09-20 16:55:27.816 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.12.Final
2022-09-20 16:55:27.917 [main] INFO  c.c.f.f.internals.provider.DefaultServerProvider - Environment is set to null. Because it is not available in either (1) JVM system property 'env', (2) OS env variable 'ENV' nor (3) property 'env' from the properties InputStream.
2022-09-20 16:55:42.375 [main] INFO  com.fzs.iotcard.business.BusinessApplication - Starting BusinessApplication on chasedeMacBook-Pro.local with PID 5872 (/Users/chase/IdeaProjects/company/iotcard/business-service/target/classes started by chase in /Users/chase/IdeaProjects/company/iotcard)
2022-09-20 16:55:42.375 [main] INFO  com.fzs.iotcard.business.BusinessApplication - The following profiles are active: chase-elk
2022-09-20 16:55:44.993 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-09-20 16:55:44.997 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-09-20 16:55:45.102 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 93ms. Found 0 Redis repository interfaces.
2022-09-20 16:55:46.480 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2022-09-20 16:55:46.489 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2022-09-20 16:55:46.489 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-09-20 16:55:46.489 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2022-09-20 16:55:46.671 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/iotcard-buss] - Initializing Spring embedded WebApplicationContext
2022-09-20 16:55:46.672 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3993 ms
2022-09-20 16:55:51.186 [main] INFO  org.redisson.Version - Redisson 3.11.2
2022-09-20 16:56:03.694 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2022-09-20 16:56:03.741 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-09-20 16:59:54.246 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.12.Final
2022-09-20 16:59:54.385 [main] INFO  c.c.f.f.internals.provider.DefaultServerProvider - Environment is set to null. Because it is not available in either (1) JVM system property 'env', (2) OS env variable 'ENV' nor (3) property 'env' from the properties InputStream.
2022-09-20 17:00:11.978 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.12.Final
